country,source_layer,source_id,source_edition,source_cutoff,source_row_id,label,record_type,reported_status,identity_status,evidence_locator
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,75,"SAGEN ""“ South African-German Energy Programme IV",register_row,D. Completed,named,"Overall - Data, Unique ID GR003"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,76,PtX Hub,register_row,C. Implementation Phase,named,"Overall - Data, Unique ID GR004"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,77,"SAGEN CET II ""“ Capacities for the Energy Transition",register_row,C. Implementation Phase,named,"Overall - Data, Unique ID GR006"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,78,Just Transition to a Decarbonised Economy (JUST SA),register_row,C. Implementation Phase,named,"Overall - Data, Unique ID GR007"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,79,Electricity Community Development Initiative,register_row,C. Implementation Phase,named,"Overall - Data, Unique ID GR008"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,80,Electricity Infrastructure Development,register_row,B. Approved,named,"Overall - Data, Unique ID GR009"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,81,Green Hydrogen Infrastructure Development,register_row,C. Implementation Phase,named,"Overall - Data, Unique ID GR011"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,82,H2.SA Promoting a South African green and sustainable hydrogen economy.,register_row,D. Completed,named,"Overall - Data, Unique ID GR012"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,83,Skills Development Programme,register_row,C. Implementation Phase,named,"Overall - Data, Unique ID GR013"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,84,Skills Development Programme,register_row,B. Approved,named,"Overall - Data, Unique ID GR014"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,85,Skills4Jet II,register_row,A. Planned,named,"Overall - Data, Unique ID GR014b"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,86,Career Path Development for Employment (CPD4E),register_row,C. Implementation Phase,named,"Overall - Data, Unique ID GR015"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,87,Support to the Presidential Youth Employment Intervention - S2PYEI,register_row,D. Completed,named,"Overall - Data, Unique ID GR016"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,88,Climate Support Programme (CSP 4),register_row,C. Implementation Phase,named,"Overall - Data, Unique ID GR017"
ZAF,register-q1-2026,zaf-jet-investment-register-q1-2026,Q1 2026,2026-03-31,89,Green Economy Transition (GET),register_row,C. Implementation Phase,named,"Overall - Data, Unique ID GR018"
