country,source_layer,source_id,source_edition,source_cutoff,source_row_id,label,record_type,reported_status,identity_status,evidence_locator
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-088,Geothermal Danau Ranau (FTP2)**,priority_project_row,priority,named,"Appendix 1, table 4, printed row 88"
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-089,Geothermal Sibayak Bottoming Unit (5 MW),priority_project_row,top_priority,named,"Appendix 1, table 4, printed row 89"
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-090,Geothermal Lumut Balai Low Pressure (20 MW),priority_project_row,top_priority,named,"Appendix 1, table 4, printed row 90"
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-091,Geothermal Sarulla 2 #1 (50 MW),priority_project_row,top_priority,named,"Appendix 1, table 4, printed row 91"
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-092,Geothermal Lumut Balai (FTP2) #3,priority_project_row,top_priority,named,"Appendix 1, table 4, printed row 92"
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-093,Geothermal Lumut Balai (FTP2) #4,priority_project_row,top_priority,named,"Appendix 1, table 4, printed row 93"
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-094,Geothermal Rajabasa (FTP2),priority_project_row,top_priority,named,"Appendix 1, table 4, printed row 94"
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-095,Geothermal Sumatera (Kuota) Tersebar,priority_project_row,priority,named,"Appendix 1, table 4, printed row 95"
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-096,Geothermal Jawa-Bali (Kuota) Tersebar,priority_project_row,priority,named,"Appendix 1, table 4, printed row 96"
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-097,Geothermal Kamojang/Masigit (Ekspansi) (55 MW),priority_project_row,top_priority,named,"Appendix 1, table 4, printed row 97"
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-098,Geothermal Jawa-Bali (Kuota) Tersebar,priority_project_row,priority,named,"Appendix 1, table 4, printed row 98"
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-099,Geothermal Jawa-Bali (Kuota) Tersebar,priority_project_row,priority,named,"Appendix 1, table 4, printed row 99"
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-100,Geothermal Jawa-Bali (Kuota) Tersebar,priority_project_row,priority,named,"Appendix 1, table 4, printed row 100"
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-101,Geothermal Jawa-Bali (Kuota) Tersebar,priority_project_row,priority,named,"Appendix 1, table 4, printed row 101"
IDN,progress-2025-priority-projects,idn-jetp-progress-report-2025,Progress Report 2025,2025-11-30,idn-progress25-geothermal-102,Geothermal Jawa-Bali (Kuota) Tersebar,priority_project_row,priority,named,"Appendix 1, table 4, printed row 102"
