country,unit,stage,cohort,count,validation
MN,programme,actual_start,unvalidated_or_missing,13,"source reported, not document validated"
MR,component,actual_start,unvalidated_or_missing,3,"source reported, not document validated"
MR,programme,actual_start,unvalidated_or_missing,2,"source reported, not document validated"
MS,component,actual_start,unvalidated_or_missing,129,"source reported, not document validated"
MS,programme,actual_start,unvalidated_or_missing,73,"source reported, not document validated"
MU,component,actual_start,unvalidated_or_missing,17,"source reported, not document validated"
MU,programme,actual_start,unvalidated_or_missing,9,"source reported, not document validated"
MV,component,actual_start,unvalidated_or_missing,4,"source reported, not document validated"
MV,programme,actual_start,unvalidated_or_missing,12,"source reported, not document validated"
MW,component,actual_start,unvalidated_or_missing,357,"source reported, not document validated"
MW,programme,actual_start,unvalidated_or_missing,95,"source reported, not document validated"
MX,component,actual_start,unvalidated_or_missing,76,"source reported, not document validated"
MX,programme,actual_start,unvalidated_or_missing,19,"source reported, not document validated"
MY,component,actual_start,unvalidated_or_missing,26,"source reported, not document validated"
MY,programme,actual_start,unvalidated_or_missing,25,"source reported, not document validated"
MZ,component,actual_start,unvalidated_or_missing,276,"source reported, not document validated"
MZ,programme,actual_start,unvalidated_or_missing,99,"source reported, not document validated"
NA,component,actual_start,unvalidated_or_missing,6,"source reported, not document validated"
NA,programme,actual_start,unvalidated_or_missing,13,"source reported, not document validated"
NE,component,actual_start,unvalidated_or_missing,11,"source reported, not document validated"
NE,programme,actual_start,unvalidated_or_missing,5,"source reported, not document validated"
NG,component,actual_start,unvalidated_or_missing,492,"source reported, not document validated"
NG,programme,actual_start,unvalidated_or_missing,130,"source reported, not document validated"
NI,component,actual_start,unvalidated_or_missing,4,"source reported, not document validated"
NI,programme,actual_start,unvalidated_or_missing,7,"source reported, not document validated"
NP,component,actual_start,unvalidated_or_missing,415,"source reported, not document validated"
NP,programme,actual_start,unvalidated_or_missing,114,"source reported, not document validated"
NR,component,actual_start,unvalidated_or_missing,1,"source reported, not document validated"
PA,component,actual_start,unvalidated_or_missing,1,"source reported, not document validated"
PA,programme,actual_start,unvalidated_or_missing,23,"source reported, not document validated"
PE,component,actual_start,unvalidated_or_missing,28,"source reported, not document validated"
PE,programme,actual_start,unvalidated_or_missing,24,"source reported, not document validated"
PG,component,actual_start,unvalidated_or_missing,13,"source reported, not document validated"
PG,programme,actual_start,unvalidated_or_missing,15,"source reported, not document validated"
PH,component,actual_start,unvalidated_or_missing,51,"source reported, not document validated"
PH,programme,actual_start,unvalidated_or_missing,35,"source reported, not document validated"
PK,component,actual_start,unvalidated_or_missing,512,"source reported, not document validated"
PK,programme,actual_start,unvalidated_or_missing,119,"source reported, not document validated"
PN,component,actual_start,unvalidated_or_missing,24,"source reported, not document validated"
PN,programme,actual_start,unvalidated_or_missing,17,"source reported, not document validated"
PS,component,actual_start,unvalidated_or_missing,196,"source reported, not document validated"
PS,programme,actual_start,unvalidated_or_missing,83,"source reported, not document validated"
PY,component,actual_start,unvalidated_or_missing,1,"source reported, not document validated"
PY,programme,actual_start,unvalidated_or_missing,10,"source reported, not document validated"
RS,component,actual_start,unvalidated_or_missing,38,"source reported, not document validated"
RS,programme,actual_start,unvalidated_or_missing,39,"source reported, not document validated"
RU,component,actual_start,unvalidated_or_missing,5,"source reported, not document validated"
RU,programme,actual_start,unvalidated_or_missing,5,"source reported, not document validated"
RW,component,actual_start,unvalidated_or_missing,230,"source reported, not document validated"
RW,programme,actual_start,unvalidated_or_missing,100,"source reported, not document validated"
SB,component,actual_start,unvalidated_or_missing,10,"source reported, not document validated"
SB,programme,actual_start,unvalidated_or_missing,16,"source reported, not document validated"
SC,component,actual_start,unvalidated_or_missing,1,"source reported, not document validated"
SC,programme,actual_start,unvalidated_or_missing,9,"source reported, not document validated"
SD,component,actual_start,unvalidated_or_missing,216,"source reported, not document validated"
SD,programme,actual_start,unvalidated_or_missing,86,"source reported, not document validated"
SH,component,actual_start,unvalidated_or_missing,145,"source reported, not document validated"
SH,programme,actual_start,unvalidated_or_missing,95,"source reported, not document validated"
SL,component,actual_start,unvalidated_or_missing,366,"source reported, not document validated"
SL,programme,actual_start,unvalidated_or_missing,138,"source reported, not document validated"
SN,component,actual_start,unvalidated_or_missing,10,"source reported, not document validated"
SN,programme,actual_start,unvalidated_or_missing,16,"source reported, not document validated"
SO,component,actual_start,unvalidated_or_missing,390,"source reported, not document validated"
